Name	Resource Type	Domain	Site Code	Client	Approved	Assigned	Blocked	Client Type	Obsolete	Active	
XLWUL-493Z8Y	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-5105SR	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-121X4S	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-022D5B	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-0327TS	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-A03986	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-022DNN	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-490W5M	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL3-392HQT	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-431YZB	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-410M8D	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-032864	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-0209GHA	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-121X65	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-493Z60	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-490W75	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-311R3L	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-121X93	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-OS1KBH	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491DVJ	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491MTR	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-022D3B	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-493Z5X	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-432L4W	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-431YVN	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-70QFFX	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-242CTH	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491MRX	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-1016NZ	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-360SGD	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-39170H	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-490W7G	System	AREA52	XLW	No	Approved	Yes	No				
